,Production of crude steel,Production of primary steel,Production of recycled steel,Production of non metallic minerals,Production of cement,Production of glass,Production of ammonia,Production of high value chemicals , - Industrial production index of crude steel, - Industrial production index of primary steel, - Industrial production index of recycled steel,Industrial production index of non metallic minerals, - Industrial production index of cement, - Industrial production index of glass,Industrial production index of ammonia,Industrial production index of high value chemicals,Production of paper,Production of pulp,Industrial production index of paper and printing industry,Share of recycled plastics,Share of recycled steel,Share of recycled non-ferrous metals,Share of recycled glass,Share of recycled pulp,Unit consumption of steel industry, - Unit consumption of primary steel, - Unit consumption of recycled steel,Unit consumption of non metallic minerals, - Unit consumption of cement, - Unit consumption of glass industry,Unit consumption of ammonia,Unit consumption of high value chemicals,Unit consumption of pulp and paper,Total FEC of industry (excl. consumption of the energy sector),Total Final Energy Consumption of the steel industry,Total Final Energy Consumption of the primary steel industry,Total Final Energy Consumption of the recycled steel industry,Total Final energy consumption of the non metallic minerals industry,Total Final Energy Consumption of the cement industry,Total Final Energy Consumptionof the glass industry,Total Final Energy Consumption of the chemical industry,Total Final Energy Consumption of the ammonia industry,Total Final Energy Consumption of the high value chemicals industry,Total Final Energy Consumption of the other chemical industries,Total Final energy consumption of the non-ferrous metals industry,"Total Final Energy Consumption of the paper, pulp and printing industry","Total Final Energy Consumption of the Food, beverage and tobacco industry",Total Final Energy Consumption of other industries (miscellaneous industries),Total Final energy consumption from solid fossil fuels (coal ...) in industry,Total Final energy consumption from solid biomass in industry,Total Final oil consumption in industry,Total Final energy consumption from gas grid / gas consumed locally in industry,Total Final electricity consumption in industry,Total Final heat consumption in industry,Total Final hydrogen consumption in industry,Total Final non-renewable waste consumption in industry,Total Final energy consumption from ambient heat (heat pumps…) in industry,Total Final energy consumption from thermal solar in industry,Total non-energy consumption for the feedstock production (including chemicals and oxygen steel),Non-energy consumption of solid fossil fuels (coal...) for the feedstock production,Non-energy consumption of solid biomass for the feedstock production,Non-energy consumption of gas for the feedstock production,Non-energy consumption of oil for the feedstock production,Non-energy consumption of hydrogen for the feedstock production,GHG emissions from non-energy sources in industry,GHG emissions from non-energy sources in the steel industry,GHG emissions from non-energy sources in the non-metallic minerals industry,GHG emissions from non-energy sources in the cement industry,GHG emissions from non-energy sources in the chemicals industry,GHG emissions from non-energy sources in the non-ferrous metals industry,Ratio of reffinery oil consumption vs. total primary oil consumption,Ratio of reffinery gas consumption vs. total primary oil consumption,Final energy consumption from solid fossil fuels (coal...) in the Energy sector,Final energy consumption from solid biomass in the Energy sector,Final oil consumption in the Energy sector,Final energy consumption from gas in the Energy sector,Final electricity consumption in the Energy sector,Final heat consumption in the Energy sector,other_chemicals_total,Industrial production index of crude steel,Industrial production index of primary steel,Industrial production index of recycled steel,Industrial production index of cement,Industrial production index of glass,Unit consumption of primary steel,Unit consumption of recycled steel,Unit consumption of cement,Unit consumption of glass industry
FR,13018.0992,5279.5992,7738.5,0.0,10864.8702,3045.0657888,0.0,0.0,86.88,53.7363786259542,150.0,0.0,69.66,67.2,0.0,0.0,6937.8024,0.0,86.88,0.0,0.594441621707722,0.0,0.0,0.0,2257.92526189999,4068.0,1023.0,0.0,809.818752625505,0.0,0.0,0.0,2934.1093967034,0.0,29.3938950456,0.0,0.0,0.0,8.79857563280202,0.0,59.92869,0.0,0.0,0.0,11.4353096,20.3562712143114,40.12835184,0.0,0.0,21.5015670025059,5.722326,45.3141674541381,150.084686339622,3.39489,12.456897536448,0.0,0.0,0.0,0.0,0.0,0.0,4.60439073523913,27.7873267692826,28.5156340591304,9.0962900894105,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
DE,37076.9088,18143.9088,18933.0,0.0,21706.056,4324.2528,0.0,0.0,86.88,60.3710281493312,150.0,0.0,69.66,67.2,0.0,0.0,19636.6176,0.0,86.88,0.0,0.510641275466848,0.0,0.0,0.0,2513.09731620345,4068.0,1023.0,0.0,783.703726444159,1652.57491025502,0.0,0.0,2862.99653723122,0.0,93.1778799984,0.0,0.0,0.0,17.0111169736056,12.7567821,129.4626495,0.0,0.0,0.0,23.3899424,56.2195681917336,40.78057376,0.0,0.0,64.8853550815176,4.907862,95.8163682785648,313.078703284585,8.76429,42.809464179072,0.0,0.0,0.0,0.0,0.0,0.0,9.94676546270761,60.0283594731272,61.6017059186087,20.2261318107813,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GB,9476.0016,6692.0016,2784.0,0.0,6433.101,0.0,0.0,0.0,86.88,73.9365992707988,150.0,0.0,69.66,0.0,0.0,0.0,3449.04912,0.0,86.88,0.0,0.29379480054119,0.0,0.0,0.0,3173.39483235208,4068.0,1023.0,0.0,877.194997130482,0.0,0.0,0.0,3220.73470069145,0.0,30.0710945088,0.0,0.0,0.0,5.6430840132351,3.5380486,29.2746825,0.0,0.0,0.0,6.264566,11.1084721851733,20.44286496,0.0,0.0,14.6269015911483,4.572504,36.2739685065179,121.860753314438,1.408122,15.789376255104,0.0,0.0,0.0,0.0,0.0,0.0,2.24920779813587,13.5738853743424,13.9296576208696,7.42014699215119,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
IT,19129.2384,3408.3864,15720.852,0.0,14506.9750332,5098.180416,0.0,0.0,86.88,71.1414402003758,91.257049979683,0.0,69.66,67.2,0.0,0.0,7780.104,0.0,86.88,0.0,0.821823204419889,0.0,0.0,0.0,1565.54834254144,4068.0,1023.0,0.0,737.312859554884,0.0,0.0,0.0,2864.93069221105,0.0,29.9477474712,0.0,0.0,0.0,10.69617924522,0.0,30.4318845,0.0,0.0,0.0,6.0711156,22.289458738194,22.1909804,0.0,0.0,9.91004859358357,3.674988,43.2035140453382,151.706931608076,6.15843000000001,8.04188320761601,0.0,0.0,0.0,0.0,0.0,0.0,2.33811696947935,14.110448915312,14.4802845203478,8.49443133546905,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
ES,12932.9568,2304.3528,10628.604,0.0,14210.71774056,2574.432,0.0,0.0,86.88,48.8328075709779,104.538799414348,0.0,69.66,67.2,0.0,0.0,5382.38976,0.0,86.88,0.0,0.821823204419889,0.0,0.0,0.0,1565.54834254144,4068.0,1023.0,0.0,818.142942555332,0.0,0.0,0.0,2879.58997727273,0.0,20.2471690824,0.0,0.0,0.0,11.626398428085,0.0,26.2838925,0.0,0.0,0.0,10.5775736,15.4990756066714,18.58825424,0.0,0.0,20.011738906318,6.089238,30.9898878213464,97.52330705906,0.0,5.436982170432,0.0,0.0,0.0,0.0,0.0,0.0,2.01942193485326,12.1871362391902,12.5065617182609,6.10493581468955,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
PL,7943.4384,2226.9384,5716.5,0.0,9799.7688,3.36,0.0,0.0,86.88,41.765536384096,150.0,0.0,69.66,67.2,0.0,0.0,2701.968,0.0,86.88,0.0,0.719650573484651,0.0,0.0,0.0,1876.66400373924,4068.0,1023.0,0.0,829.835193829969,267116.5,0.0,0.0,4917.56167202572,0.0,14.9071649112,0.0,0.0,0.0,8.13219304163688,5.2675727,24.016791,0.0,0.0,0.0,4.1826752,13.28709427584,15.34751336,0.0,0.0,20.8740147927476,1.895436,20.282191341304,77.7179501161292,1.815678,5.254327538496,0.0,0.0,0.0,0.0,0.0,0.0,1.84523789808478,11.1359420582457,11.4278156827826,4.87626936625848,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
SE,3794.9184,1610.9184,2184.0,0.0,1924.0092,0.0,0.0,0.0,86.88,55.32,150.0,0.0,69.66,0.0,0.0,0.0,8575.056,0.0,86.88,0.0,0.575506445672192,0.0,0.0,0.0,2315.58287292818,4068.0,1023.0,0.0,814.20453519189,0.0,0.0,0.0,6246.42767983789,0.0,8.7874480512,0.0,0.0,0.0,1.56653701639092,0.4283704,8.4079995,0.0,0.0,0.0,3.112846,53.56346715456,3.37169272,0.0,0.0,69.9743000281564,1.91466,4.11149635105702,21.8647102532415,0.65187,3.800865309696,0.0,0.0,0.0,0.0,0.0,0.0,0.645996349990218,3.89856393627935,4.00074550121739,3.90277863424677,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
NL,6077.256,5916.756,160.5,0.0,1574.316,0.0,0.0,0.0,86.88,85.8994773519164,150.0,0.0,69.66,0.0,0.0,0.0,2296.2384,0.0,86.88,0.0,0.0264099455412114,0.0,0.0,0.0,3987.58171582701,4068.0,1023.0,0.0,809.68963361556,0.0,0.0,0.0,2558.63957623912,0.0,24.233554908,0.0,0.0,0.0,1.27470734523511,0.0,64.20897,0.0,0.0,0.0,2.6245384,5.87524644672,15.60511776,0.0,0.0,2.3179329586308,6.31215,27.7337467978581,81.1079160071202,3.213594,13.96023077664,0.0,0.0,0.0,0.0,0.0,0.0,4.93324961028261,29.7719778441522,30.5523029426087,5.1358740350008,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BE,6342.618,3204.74406,3137.87394,0.0,4957.25,874.0,785.4,5111.28,87.4,66.6405502183406,128.181125,0.0,79.0,87.4,74.8,91.6,1855.502,0.0,87.4,0.0,0.494728508007261,0.0,0.0,0.0,2557.569794681,0.0,0.0,0.0,686.749003984064,1864.0,2493.71428571429,4556.21505376344,2722.16862929816,90.2696876054854,16.221688216,0.0,0.0,0.0,3.4043865,1.629136,36.81658688,1.9585632,23.28809088,11.5699328,2.45320056305822,5.050989336,9.93936486350926,14.7543352469179,0.0,6.31887813238398,2.02204100236287,11.7350593887131,59.2169150691984,2.85252212833334,8.12427188449368,0.0,0.0,0.0,0.0,0.0,0.0,3.05100898067826,36.0,24.0,4.12473368012744,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.30356,0.0244334,34.85802368,,,,,,,,,
FI,3466.512,1419.012,2047.5,0.0,827.5608,0.0,0.0,0.0,86.88,54.0576,150.0,0.0,69.66,0.0,0.0,0.0,9335.256,0.0,86.88,0.0,0.590651352137249,0.0,0.0,0.0,2269.46663274208,4068.0,1023.0,0.0,809.68963361556,0.0,0.0,0.0,5325.34723127036,0.0,7.867133316,0.0,0.0,0.0,0.6700674009466,0.0,9.097503,0.0,0.0,0.0,2.4545796,49.7134796928,3.20662856,0.0,0.0,51.6148101830473,2.110374,5.3287549426049,25.0153150629335,2.593134,3.34807367328,0.0,0.0,0.0,0.0,0.0,0.0,0.698971703319566,4.21826822254131,4.32882925356522,3.43332790005593,0.0,0.0,0.0,0.0,0.0,0.0247673860512669,0.0808150289872365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
